Month	Hsr
01-01-1978	359
01-02-1978	378
01-03-1978	395
01-04-1978	402
01-05-1978	404
01-06-1978	392
01-07-1978	371
01-08-1978	343
01-09-1978	321
01-10-1978	312
01-11-1978	292
01-12-1978	295
01-01-1979	332
01-02-1979	389
01-03-1979	426
01-04-1979	450
01-05-1979	449
01-06-1979	429
01-07-1979	406
01-08-1979	382
01-09-1979	368
01-10-1979	374
01-11-1979	397
01-12-1979	426
01-01-1980	442
01-02-1980	453
01-03-1980	447
01-04-1980	452
01-05-1980	451
01-06-1980	438
01-07-1980	414
01-08-1980	384
01-09-1980	356
01-10-1980	355
01-11-1980	397
01-12-1980	457
01-01-1981	486
01-02-1981	501
01-03-1981	520
01-04-1981	516
01-05-1981	507
01-06-1981	495
01-07-1981	477
01-08-1981	452
01-09-1981	456
01-10-1981	500
01-11-1981	500
01-12-1981	510
01-01-1982	556
01-02-1982	551
01-03-1982	539
01-04-1982	545
01-05-1982	542
01-06-1982	532
01-07-1982	504
01-08-1982	471
01-09-1982	444
01-10-1982	427
01-11-1982	419
01-12-1982	436
01-01-1983	451
01-02-1983	460
01-03-1983	466
01-04-1983	487
01-05-1983	484
01-06-1983	469
01-07-1983	440
01-08-1983	409
01-09-1983	379
01-10-1983	353
01-11-1983	326
01-12-1983	310
01-01-1984	316
01-02-1984	367
01-03-1984	412
01-04-1984	419
01-05-1984	413
01-06-1984	406
01-07-1984	384
01-08-1984	358
01-09-1984	350
01-10-1984	380
01-11-1984	407
01-12-1984	442
01-01-1985	436
01-02-1985	454
01-03-1985	472
01-04-1985	484
01-05-1985	486
01-06-1985	472
01-07-1985	446
01-08-1985	415
01-09-1985	384
01-10-1985	354
01-11-1985	360
01-12-1985	365
01-01-1986	372
01-02-1986	391
01-03-1986	429
01-04-1986	443
01-05-1986	444
01-06-1986	427
01-07-1986	397
01-08-1986	366
01-09-1986	340
01-10-1986	313
01-11-1986	295
01-12-1986	283
01-01-1987	304
01-02-1987	345
01-03-1987	372
01-04-1987	368
01-05-1987	368
01-06-1987	360
01-07-1987	339
01-08-1987	311
01-09-1987	288
01-10-1987	268
01-11-1987	258
01-12-1987	273
01-01-1988	282
01-02-1988	301
01-03-1988	322
01-04-1988	330
01-05-1988	324
01-06-1988	322
01-07-1988	306
01-08-1988	275
01-09-1988	255
01-10-1988	238
01-11-1988	219
01-12-1988	219
01-01-1989	208
01-02-1989	194
01-03-1989	190
01-04-1989	187
01-05-1989	180
01-06-1989	169
01-07-1989	155
01-08-1989	134
01-09-1989	121
01-10-1989	104
01-11-1989	101
01-12-1989	97
01-01-1990	92
